offline_datapoint_16 1708452158 135911,000
offline_datapoint_10 1708452158 7026,000
offline_datapoint_1 1708452158 2029920256,000
offline_datapoint_19 1708452158 827281408,000
offline_datapoint_8 1708452158 26443927552,000
offline_datapoint_14 1708452158 691494912,000
offline_datapoint_0 1708452158 18959,000
offline_datapoint_24 1708452156 96,659
offline_datapoint_13 1708452156 9856,215
offline_datapoint_26 1708452158 691494912,000
offline_datapoint_6 1708452156 17,665
offline_datapoint_25 1708452158 17861742592,000
offline_datapoint_12 1708452158 15325597696,000
offline_datapoint_11 1708452156 0,065
offline_datapoint_17 1708452156 12,145
offline_datapoint_29 1708452156 1,823
offline_datapoint_18 1708452156 56557,498
offline_datapoint_23 1708452158 0,000
offline_datapoint_5 1708452156 59933,229
offline_datapoint_21 1708452156 2677,787
offline_datapoint_3 1708452156 0,086
offline_datapoint_22 1708452156 61,662
offline_datapoint_15 1708452156 99,675
offline_datapoint_4 1708452156 11,999
offline_datapoint_27 1708452156 17488,259
offline_datapoint_9 1708452156 0,006
offline_datapoint_16 1708452161 135911,000
offline_datapoint_10 1708452161 7033,000
offline_datapoint_1 1708452161 2029441024,000
offline_datapoint_19 1708452161 827351040,000
offline_datapoint_8 1708452161 26456506368,000
offline_datapoint_14 1708452161 692023296,000
offline_datapoint_0 1708452161 18958,000
offline_datapoint_24 1708452159 6,000
offline_datapoint_13 1708452159 7330,662
offline_datapoint_26 1708452161 692023296,000
offline_datapoint_6 1708452159 1,333
offline_datapoint_25 1708452161 17873223680,000
offline_datapoint_12 1708452161 15330791424,000
offline_datapoint_11 1708452159 0,033
offline_datapoint_17 1708452159 8,954
offline_datapoint_29 1708452159 0,911
offline_datapoint_18 1708452159 42888,303
offline_datapoint_23 1708452161 0,000
offline_datapoint_5 1708452159 40813,638
offline_datapoint_21 1708452159 1306,999
offline_datapoint_3 1708452159 0,043
offline_datapoint_22 1708452159 35,667
offline_datapoint_15 1708452159 99,690
offline_datapoint_4 1708452159 8,333
offline_datapoint_27 1708452159 11479,327
offline_datapoint_9 1708452159 0,003
offline_datapoint_16 1708452164 135911,000
offline_datapoint_10 1708452164 7030,000
offline_datapoint_1 1708452164 2029514752,000
offline_datapoint_19 1708452164 827269120,000
offline_datapoint_8 1708452164 26443595776,000
offline_datapoint_14 1708452164 692170752,000
offline_datapoint_0 1708452164 18961,000
offline_datapoint_24 1708452162 0,000
offline_datapoint_13 1708452162 7236,593
offline_datapoint_26 1708452164 692170752,000
offline_datapoint_6 1708452162 0,000
offline_datapoint_25 1708452164 17859846144,000
offline_datapoint_12 1708452164 15330840576,000
offline_datapoint_11 1708452162 0,000
offline_datapoint_17 1708452162 8,010
offline_datapoint_29 1708452162 0,586
offline_datapoint_18 1708452162 36181,967
offline_datapoint_23 1708452164 0,000
offline_datapoint_5 1708452162 31287,154
offline_datapoint_21 1708452162 714,729
offline_datapoint_3 1708452162 0,038
offline_datapoint_22 1708452162 27,656
offline_datapoint_15 1708452162 99,760
offline_datapoint_4 1708452162 0,666
offline_datapoint_27 1708452162 7334,554
offline_datapoint_9 1708452162 0,003
offline_datapoint_16 1708452167 135911,000
offline_datapoint_10 1708452167 7042,000
offline_datapoint_1 1708452167 2029895680,000
offline_datapoint_19 1708452167 827420672,000
offline_datapoint_8 1708452167 26458189824,000
offline_datapoint_14 1708452167 692166656,000
offline_datapoint_0 1708452167 18953,000
offline_datapoint_24 1708452165 1,000
offline_datapoint_13 1708452165 7291,436
offline_datapoint_26 1708452167 692166656,000
offline_datapoint_6 1708452165 1,000
offline_datapoint_25 1708452167 17876029440,000
offline_datapoint_12 1708452167 15341228032,000
offline_datapoint_11 1708452165 0,065
offline_datapoint_17 1708452165 8,594
offline_datapoint_29 1708452165 0,846
offline_datapoint_18 1708452165 37998,202
offline_datapoint_23 1708452167 0,000
offline_datapoint_5 1708452165 33788,476
offline_datapoint_21 1708452165 1758,691
offline_datapoint_3 1708452165 0,041
offline_datapoint_22 1708452165 34,667
offline_datapoint_15 1708452165 99,769
offline_datapoint_4 1708452165 8,000
offline_datapoint_27 1708452165 13902,769
offline_datapoint_9 1708452165 0,003
offline_datapoint_16 1708452170 135911,000
offline_datapoint_10 1708452170 7033,000
offline_datapoint_1 1708452170 2029469696,000
offline_datapoint_19 1708452170 827428864,000
offline_datapoint_8 1708452170 26463817728,000
offline_datapoint_14 1708452170 692178944,000
offline_datapoint_0 1708452170 18942,000
offline_datapoint_24 1708452168 0,000
offline_datapoint_13 1708452168 9717,121
offline_datapoint_26 1708452170 692178944,000
offline_datapoint_6 1708452168 0,000
offline_datapoint_25 1708452170 17880141824,000
offline_datapoint_12 1708452170 15346544640,000
offline_datapoint_11 1708452168 0,098
offline_datapoint_17 1708452168 7,922
offline_datapoint_29 1708452168 0,716
offline_datapoint_18 1708452168 37062,150
offline_datapoint_23 1708452170 0,000
offline_datapoint_5 1708452168 31149,729
offline_datapoint_21 1708452168 1286,570
